symbol,name,atomic_number,group
H,Hydrogen,1,1
He,Helium,2,18
Li,Lithium,3,1
Be,Beryllium,4,2
B,Boron,5,13
C,Carbon,6,14
N,Nitrogen,7,15
O,Oxygen,8,16
F,Fluorine,9,17
Ne,Neon,10,18
Na,Sodium,11,1
Mg,Magnesium,12,2
Al,Aluminium,13,13
Si,Silicon,14,14
P,Phosphorus,15,15
S,Sulfur,16,16
Cl,Chlorine,17,17
Ar,Argon,18,18
K,Potassium,19,1
Ca,Calcium,20,2
Sc,Scandium,21,3
Ti,Titanium,22,4
V,Vanadium,23,5
Cr,Chromium,24,6
Mn,Manganese,25,7
Fe,Iron,26,8
Co,Cobalt,27,9
Ni,Nickel,28,10
Cu,Copper,29,11
Zn,Zinc,30,12
Ga,Gallium,31,13
Ge,Germanium,32,14
As,Arsenic,33,15
Se,Selenium,34,16
Br,Bromine,35,17
Kr,Krypton,36,18
Rb,Rubidium,37,1
Sr,Strontium,38,2
Y,Yttrium,39,3
Zr,Zirconium,40,4
Nb,Niobium,41,5
Mo,Molybdenum,42,6
Tc,Technetium,43,7
Ru,Ruthenium,44,8
Rh,Rhodium,45,9
Pd,Palladium,46,10
Ag,Silver,47,11
Cd,Cadmium,48,12
In,Indium,49,13
Sn,Tin,50,14
Sb,Antimony,51,15
Te,Tellurium,52,16
I,Iodine,53,17
Xe,Xenon,54,18
Cs,Cesium,55,1
Ba,Barium,56,2
La,Lanthanum,57,Lanthanide
Ce,Cerium,58,Lanthanide
Pr,Praseodymium,59,Lanthanide
Nd,Neodymium,60,Lanthanide
Pm,Promethium,61,Lanthanide
Sm,Samarium,62,Lanthanide
Eu,Europium,63,Lanthanide
Gd,Gadolinium,64,Lanthanide
Tb,Terbium,65,Lanthanide
Dy,Dysprosium,66,Lanthanide
Ho,Holmium,67,Lanthanide
Er,Erbium,68,Lanthanide
Tm,Thulium,69,Lanthanide
Yb,Ytterbium,70,Lanthanide
Lu,Lutetium,71,Lanthanide
Hf,Hafnium,72,4
Ta,Tantalum,73,5
W,Tungsten,74,6
Re,Rhenium,75,7
Os,Osmium,76,8
Ir,Iridium,77,9
Pt,Platinum,78,10
Au,Gold,79,11
Hg,Mercury,80,12
Tl,Thallium,81,13
Pb,Lead,82,14
Bi,Bismuth,83,15
Po,Polonium,84,16
At,Astatine,85,17
Rn,Radon,86,18
Fr,Francium,87,1
Ra,Radium,88,2
Ac,Actinium,89,Actinide
Th,Thorium,90,Actinide
Pa,Protactinium,91,Actinide
U,Uranium,92,Actinide
Np,Neptunium,93,Actinide
Pu,Plutonium,94,Actinide
Am,Americium,95,Actinide
Cm,Curium,96,Actinide
Bk,Berkelium,97,Actinide
Cf,Californium,98,Actinide
Es,Einsteinium,99,Actinide
Fm,Fermium,100,Actinide
Md,Mendelevium,101,Actinide
No,Nobelium,102,Actinide
Lr,Lawrencium,103,Actinide
Rf,Rutherfordium,104,4
Db,Dubnium,105,5
Sg,Seaborgium,106,6
Bh,Bohrium,107,7
Hs,Hassium,108,8
Mt,Meitnerium,109,9
Ds,Darmstadtium,110,10
Rg,Roentgenium,111,11
Cn,Copernicium,112,12
Nh,Nihonium,113,13
Fl,Flerovium,114,14
Mc,Moscovium,115,15
Lv,Livermorium,116,16
Ts,Tennessine,117,17
Og,Oganesson,118,18
